#               T,              Va,              az,               q,              Vz,               h,      delta_th_c,       delta_e_c
0.0200, 230.000000000000000, 0.000006963226497, 0.000000000000000, 0.000000000000000, 10000.000000000000000, 1.586866079492600, 0.012009615652468
0.0400, 229.999984741210938, 0.001513745286502, 0.000002207186526, 0.000004955337772, 10000.000000000000000, 1.586866091903041, 0.011978244166955
0.0600, 229.999938964843750, 0.002797593362629, 0.000023940556275, 0.000048809528380, 10000.000000000000000, 1.586872137109150, 0.011946881310377
0.0800, 229.999908447265625, 0.002741184318438, 0.000053318439313, 0.000106654842966, 10000.000000000000000, 1.586920809758550, 0.011915509307310
0.1000, 229.999862670898438, 0.002101327525452, 0.000080664911366, 0.000158119393745, 10000.000000000000000, 1.587054957933558, 0.011883045881706
0.1200, 229.999832153320312, 0.001298671355471, 0.000102568170405, 0.000195158412680, 10000.000000000000000, 1.586921414868185, 0.011856256383564
0.1400, 229.999801635742188, 0.000537267944310, 0.000118842719530, 0.000216314001591, 10000.000000000000000, 1.587614247637539, 0.011820395120049
0.1600, 229.999755859375000, -0.000109650820377, 0.000130664848257, 0.000223090275540, 10000.000000000000000, 1.587996116086556, 0.011808210622199
0.1800, 229.999710083007812, -0.000630964757875, 0.000139562092954, 0.000217917695409, 10000.000000000000000, 1.588400827003103, 0.011768911584237
0.2000, 229.999664306640625, -0.001059216447175, 0.000146898819366, 0.000203070361749, 10000.000000000000000, 1.588797630445930, 0.011761383299565
0.2200, 229.999633789062500, -0.001415652921423, 0.000153692628373, 0.000180234943400, 10000.000000000000000, 1.589165051296947, 0.011737070541458
0.2400, 229.999588012695312, -0.001741082058288, 0.000160656301887, 0.000150538238813, 10000.000000000000000, 1.589491952134820, 0.011698622434300
0.2600, 229.999542236328125, -0.002053861273453, 0.000168151716935, 0.000114418973681, 10000.000000000000000, 1.589776321570820, 0.011684818058465
0.2800, 229.999511718750000, -0.002358791418374, 0.000176439090865, 0.000072095426731, 10000.000000000000000, 1.590022756183847, 0.011659257891145
0.3000, 229.999465942382812, -0.002676800824702, 0.000185686993063, 0.000023571936254, 10000.000000000000000, 1.590239888018495, 0.011632054001340
0.3200, 229.999435424804688, -0.003014402231202, 0.000195914530195, -0.000031483297789, 10000.000000000000000, 1.590438228200098, 0.011604525095710
0.3400, 229.999389648437500, -0.003373470623046, 0.000207125340239, -0.000093477065093, 10000.000000000000000, 1.590628355916895, 0.011569295585339
0.3600, 229.999359130859375, -0.003755524288863, 0.000219326975639, -0.000162853088113, 10000.000000000000000, 1.590819776247418, 0.011541770695786
0.3800, 229.999328613281250, -0.004158712457865, 0.000232549980865, -0.000240054403548, 10000.000000000000000, 1.591020322199943, 0.011514122327346
0.4000, 229.999282836914062, -0.004588882904500, 0.000246840063483, -0.000325539702317, 10000.000000000000000, 1.591236059930709, 0.011493513960978
0.4200, 229.999252319335938, -0.005051826126873, 0.000262203917373, -0.000419891148340, 10000.000000000000000, 1.591471474798313, 0.011466684832535
0.4400, 229.999221801757812, -0.005555246490985, 0.000278604245977, -0.000523824302945, 10000.000000000000000, 1.591729663423929, 0.011440279602248
0.4600, 229.999191284179688, -0.006099490914494, 0.000295974197797, -0.000638157594949, 10000.000000000000000, 1.592012493886526, 0.011405249408196
0.4800, 229.999160766601562, -0.006684084422886, 0.000314270262606, -0.000763705465943, 10000.000000000000000, 1.591747940458687, 0.011378943299149
0.5000, 229.999130249023438, -0.007304976694286, 0.000333489879267, -0.000901240389794, 10000.000000000000000, 1.592654501917504, 0.011354837083009
0.5200, 229.999099731445312, -0.007967160083354, 0.000353660114342, -0.001051513594575, 10000.000000000000000, 1.593013148829681, 0.011327795507467
0.5400, 229.999069213867188, -0.008676373399794, 0.000374766503228, -0.001215398660861, 10000.000000000000000, 1.593396004307566, 0.011302975747046
0.5600, 229.999053955078125, -0.009434240870178, 0.000396771851229, -0.001393850776367, 10000.000000000000000, 1.593802305530299, 0.011291918750954
0.5800, 229.999023437500000, -0.010244098491967, 0.000419639807660, -0.001587858889252, 10000.000000000000000, 1.594231252632554, 0.011254801359912
0.6000, 229.998992919921875, -0.011114604771137, 0.000443286844529, -0.001798537326977, 10000.000000000000000, 1.594682049697528, 0.011231431630259
0.6200, 229.998962402343750, -0.012034298852086, 0.000467633508379, -0.002027022186667, 10000.000000000000000, 1.595153817045554, 0.011226610717876
0.6400, 229.998947143554688, -0.013006428256631, 0.000492692925036, -0.002274292986840, 10000.000000000000000, 1.595645529621634, 0.011202294404841
0.6600, 229.998916625976562, -0.014044897630811, 0.000518398475833, -0.002541509456933, 10000.000000000000000, 1.596156153007706, 0.011167020548856
0.6800, 229.998886108398438, -0.015142699703574, 0.000544623937458, -0.002829970093444, 10000.000000000000000, 1.596684661905376, 0.011163115291211
0.7000, 229.998870849609375, -0.016289453953505, 0.000571359065361, -0.003140761982650, 10000.000000000000000, 1.597229899793437, 0.011142753780242
0.7200, 229.998840332031250, -0.017499696463346, 0.000598606537096, -0.003474960103631, 10000.000000000000000, 1.597790645322697, 0.011100732897809
0.7400, 229.998809814453125, -0.018770148977637, 0.000626273162197, -0.003833841765299, 10000.000976562500000, 1.598365787739908, 0.011103108836773
0.7600, 229.998794555664062, -0.020086601376534, 0.000654373550788, -0.004218481946737, 10000.000976562500000, 1.598954256461759, 0.011060465671699
0.7800, 229.998764038085938, -0.021467719227076, 0.000682938494720, -0.004629934206605, 10000.000976562500000, 1.599555067718075, 0.011060804955663
0.8000, 229.998733520507812, -0.022900136187673, 0.000711926433723, -0.005069404374808, 10000.000976562500000, 1.600167482636301, 0.011041934755059
0.8200, 229.998703002929688, -0.024400176480412, 0.000741341849789, -0.005538017023355, 10000.000976562500000, 1.600790937637534, 0.011002669677592
0.8400, 229.998687744140625, -0.025964541360736, 0.000771071994677, -0.006037135608494, 10000.000976562500000, 1.601425011521825, 0.010984035431400
0.8600, 229.998657226562500, -0.027577256783843, 0.000801111978944, -0.006567916367203, 10000.000976562500000, 1.602069206820505, 0.010987060597759
0.8800, 229.998626708984375, -0.029245946556330, 0.000831543351524, -0.007131348829716, 10000.000976562500000, 1.602722992864224, 0.010974246938695
0.9000, 229.998596191406250, -0.030989414080977, 0.000862308486830, -0.007728702388704, 10000.000976562500000, 1.603386017150608, 0.010956979840295
0.9200, 229.998580932617188, -0.032804708927870, 0.000893235323019, -0.008361474610865, 10000.001953125000000, 1.604058016516552, 0.010934721876209
0.9400, 229.998550415039062, -0.034682914614677, 0.000924215768464, -0.009031033143401, 10000.001953125000000, 1.604738455453830, 0.010917805511523
0.9600, 229.998519897460938, -0.036615930497646, 0.000955228693783, -0.009738568216562, 10000.001953125000000, 1.605426422465531, 0.010906852762402
0.9800, 229.998489379882812, -0.038603935390711, 0.000986300525256, -0.010485165752470, 10000.001953125000000, 1.604797360950310, 0.010890647447566
1.0000, 229.998458862304688, -0.040651232004166, 0.001017428119667, -0.011271956376731, 10000.001953125000000, 1.606820546524525, 0.010874652317500
1.0200, 229.998428344726562, -0.042756307870150, 0.001048580161296, -0.012100118212402, 10000.002929687500000, 1.607524724561157, 0.010835625375647
1.0400, 229.998382568359375, -0.044915877282619, 0.001079739187844, -0.012970793992281, 10000.002929687500000, 1.608232571963256, 0.010843246950458
